UID,Picture URL,Caption,Date,Circa,Geo,Source of Picture,Description,Source name,Source license
1,http://www.slwa.wa.gov.au/images/pd102/102474PD.jpg,MacDonald Hamilton and Company,1934,,"40 William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&258%2C258%2C#.UaiktCtgax4,,,
2,http://www.slwa.wa.gov.au/images/pd101/101976PD.jpg,D. Waterman and Son furniture store in Murray Street,1934,,"137-9 William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&251%2C251%2C#.UaijuCtgax4,,,
3,http://www.slwa.wa.gov.au/images/pd102/102243PD.jpg,Tram tracks on William Street and Horseshoe Bridge,1933,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&260%2C260%2C#.UailQStgax4,,,
4,http://www.slwa.wa.gov.au/images/pd102/102244PD.jpg,Tram tracks on William Street and Horseshoe Bridge,1933,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&260%2C260%2C#.UailQStgax4,,,
5,http://www.slwa.wa.gov.au/images/pd102/102245PD.jpg,Tram tracks on William Street and Horseshoe Bridge,1933,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&260%2C260%2C#.UailQStgax4,,,
6,"http://www.slwa.wa.gov.au/images/pd046/046,699PD.jpg",The Floral Dell and Cafe de Monte Carlo,1932,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&261%2C261%2C#.Uail6Stgax4,,,
7,http://www.slwa.wa.gov.au/images/pd101/101683PD.jpg,View looking east on Hay Street from William Street,1932,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&264%2C264%2C#.UaimaStgax4,,,
8,http://www.slwa.wa.gov.au/images/pd012/012666PD.jpg,Looking east down Hay Street from the William Street intersection,1930,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&273%2C273%2C#.UaioIitgax4,,,
9,http://www.slwa.wa.gov.au/images/mitchellba1271/006295d.jpg,Britannia building,1930,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&276%2C276%2C#.UaioaStgax4,,,
10,http://www.slwa.wa.gov.au/images/mitchellba1271/006296d.jpg,Britannia building,1930,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&276%2C276%2C#.UaioaStgax4,,,
11,http://www.slwa.wa.gov.au/images/misc13/012867d.jpg,"Prince's buildings, corner St George's Terrace and William Street",1925,,"William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&278%2C278%2C#.UaioxCtgax4,,,
12,http://www.slwa.wa.gov.au/images/pd049/049033PD.jpg,"A fire alarm on a pole at the corner of William and Hay Streets, Perth across from the Orient Line Building, James Edwards tobacconist and hairdresser and University Buildings",1930,,"William Street, Perth",,,,
13,"http://www.slwa.wa.gov.au/images/pd095/095,561PD.jpg",Viking House,1925,,"49 William Street, Perth",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/251%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&296%2C296%2C#.UaipZStgax4,,,
14,"http://www.slwa.wa.gov.au/images/pd103/103,083PD.jpg","125 to 135 William Street, Perth ",1955,,"125 to 135 William Street, Perth ",http://catalogue.slwa.wa.gov.au/search~S6?/Xwilliam+street&searchscope=6&SORT=DXZ/Xwilliam+street&searchscope=6&SORT=DXZ&SUBKEY=william+street/151%2C540%2C540%2CB/frameset&FF=Xwilliam+street&searchscope=6&SORT=DXZ&174%2C174%2C#.UaipvStgax4,,,
